Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Lariviere, G., Lavallee, H., Shephard, J.","6602410033; 7004050578; 6701751917","Correlations between field tests of performance and laboratory measurements of fitness. Results in the ten years old school child",1974,"Acta Paediatrica Belgica",28,"sup.",,19,28,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016354752&partnerID=40&md5=0cffcbd9aaaeb1e9c532596c50553f62",Article,Final,"",Scopus,2-s2.0-0016354752
"Eriksson, O., Saltin, B.","57214599811; 7103099936","Muscle metabolism during exercise in boys aged 11 to 16 years compared to adults",1974,"Acta Paediatrica Belgica",28,"sup.",,257,265,,115,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016349457&partnerID=40&md5=f674d9ad70c952f12b5398013f303bbd",Article,Final,"",Scopus,2-s2.0-0016349457
"Berg, K., Bjure, J.","57190653025; 7006620628","Preliminary results of long term physical training of adolescent boys with respect to body composition, maximal oxygen uptake, and lung volume",1974,"Acta Paediatrica Belgica",28,"sup.",,183,190,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016349455&partnerID=40&md5=770572cfb9cbb8f224f43d1ae02a7674",Article,Final,"",Scopus,2-s2.0-0016349455
"Thoren, C., Herin, P., Vavra, J.","7004591541; 7004390122; 57213374373","Studies of submaximal and maximal exercise in congenital complete heart block",1974,"Acta Paediatrica Belgica",28,"sup.",,132,143,,8,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016334254&partnerID=40&md5=085a1a65eaa06ffc6f99bcce7c05bc8c",Article,Final,"",Scopus,2-s2.0-0016334254
"Harnoncourt, K., Gaisl, G.","57198333075; 55309655400","Stress acidosis as a criterion for work capacity in 11 year old school children",1974,"Acta Paediatrica Belgica",28,"sup.",,266,273,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016330882&partnerID=40&md5=da8dfff6b96a3b0266f8afa82bc058f5",Article,Final,"",Scopus,2-s2.0-0016330882
"Lundbergh, P.","7003638218","Hepatic Circulation during and after Infectious Hepatitis",1974,"Scandinavian Journal of Infectious Diseases",6,"4",,297,304,,3,10.3109/inf.1974.6.issue-4.01,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016329296&partnerID=40&md5=363d99e73e7d9c02cd1bcd9fdff3f18c",Article,Final,"",Scopus,2-s2.0-0016329296
"Schmuecker, B., Hollmann, W.","6504813682; 7005110725","The aerobic capacity of trained athletes from 6 to 7 years of age on",1974,"Acta Paediatrica Belgica",28,"sup.",,92,101,,17,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016313626&partnerID=40&md5=ebee2ca00486f1bde0feaa9faf422aa1",Article,Final,"",Scopus,2-s2.0-0016313626
"Greenleaf, J.E., Castle, B.L., Card, D.H.","20033970700; 7003399976; 36775798500","Blood electrolytes and temperature regulation during exercise in man",1974,"Acta Physiologica Polonica",25,"5",,397,410,,10,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016294296&partnerID=40&md5=fb2e2c59aab17476539adab248947b44",Article,Final,"",Scopus,2-s2.0-0016294296
"Hartung, G.H.","7004547963","Responses of middle aged women to maximal cycling exercise",1974,"American Corrective Therapy Journal",28,"4",,103,106,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016294173&partnerID=40&md5=e956c87b8245e2eda84e415452e8f315",Article,Final,"",Scopus,2-s2.0-0016294173
"Hammermeister, K.E., Kennedy, J.W.","7006573957; 34769827300","Predictors of surgical mortality in patients undergoing direct myocardial revascularization",1974,"Circulation",50,"Sup. 2",,112,115,,31,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016269307&partnerID=40&md5=04685f9813e5ee9ed6e8539c3710047c",Article,Final,"",Scopus,2-s2.0-0016269307
"Bell, A.C., Hinson, M.M.","56290564200; 57167826100","Prediction of maximal oxygen intake in women to forty years of age",1974,"Journal of Sports Medicine and Physical Fitness",14,"3",,208,212,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016267405&partnerID=40&md5=a1e77c2f1c8da9af7a250732e91ff9ea",Article,Final,"",Scopus,2-s2.0-0016267405
"Astrand, I., Kilbom, A., Ovrum, P., Wahlberg, I., Vesterberg, O.","7003949032; 7004911373; 57202696036; 56914222300; 7005415383","Exposure to styrene. I. Concentration in alveolar air and blood at rest and during exercise and metabolism",1974,"WK.ENVIRON.HLTH",11,"2",,69,85,,45,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016259445&partnerID=40&md5=8d0cf3bc49f543d6c2450c6ad5ca9a34",Article,Final,"",Scopus,2-s2.0-0016259445
"Joseph, J.J.","7401935837","Effects of calisthenics, jogging and swimming on middle aged men",1974,"Journal of Sports Medicine and Physical Fitness",14,"1",,14,20,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016253791&partnerID=40&md5=b75b37fbf08e347c4753e674f2259ebf",Article,Final,"",Scopus,2-s2.0-0016253791
"Pande, J.N., Bhasin, V., Gupta, S.P., Guleria, J.S.","7102045751; 57198292063; 57211862441; 7005665048","Effect of exercise on ventilation and gas exchange in normal subjects and in patients with chronic obstructive lung disease",1974,"Indian Journal of Medical Research",62,"3",,430,442,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016252947&partnerID=40&md5=c259fe716aff0cd6c2282ce8420fc88b",Article,Final,"",Scopus,2-s2.0-0016252947
"Morlock, J.F., Dressendorfer, R.H.","6602359756; 7003696021","Modification of a standard bicycle ergometer for underwater use",1974,"Undersea Biomedical Research",1,"4",,335,342,,22,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016250128&partnerID=40&md5=9d1508b29d501e47268b48e774775032",Article,Final,"",Scopus,2-s2.0-0016250128
"Shephard, R.J.","7202263739","Work physiology and activity patterns of circumpolar Eskimos and Ainu. A synthesis of I.B.P. data",1974,"Human Biology",46,"2",,263,294,,11,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016248069&partnerID=40&md5=bb429167a84e261436eccff63aa54917",Article,Final,"",Scopus,2-s2.0-0016248069
"Molnar, S., Milesis, C.A., Massey, B.H.","7102411537; 7801367034; 7006567497","Comparison of maximal oxygen consumption elicited at different treadmill grades",1974,"Journal of Sports Medicine and Physical Fitness",14,"2",,85,92,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016246564&partnerID=40&md5=4c8f2baa0aa54d1dc71f90ae9aa41480",Article,Final,"",Scopus,2-s2.0-0016246564
"Schwartz, P.L.","56347261100","Physical fitness in New Zealand medical students",1974,"New Zealand Medical Journal",79,"517",,1020,1021,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016246250&partnerID=40&md5=5940678937b52992b382f85b8f93d28c",Article,Final,"",Scopus,2-s2.0-0016246250
"Cunningham, D.A., Rechnitzer, P.A.","36072135000; 7003443937","Exercise prescription and the postcoronary patient",1974,"Archives of Physical Medicine and Rehabilitation",55,"7",,296,300,,11,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016222968&partnerID=40&md5=33296b8e557b0f8838835ee591b0931f",Article,Final,"",Scopus,2-s2.0-0016222968
"Rasch, P.J.","16670764300","Maximal oxygen intake as a predictor of performance in running events",1974,"Journal of Sports Medicine and Physical Fitness",14,"1",,32,39,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016221122&partnerID=40&md5=a8d3a7a404742bc7dfcabe245b9109de",Article,Final,"",Scopus,2-s2.0-0016221122
"Booth, F.W., Narahara, K.A.","7102725053; 7006078391","Vastus lateralis cytochrome oxidase activity and its relationship to maximal oxygen consumption in man",1974,"Pflügers Archiv European Journal of Physiology",349,"4",,319,324,,25,10.1007/BF00588417,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016218584&partnerID=40&md5=2ef54ca27a93696518fac54d7489ace1",Article,Final,"",Scopus,2-s2.0-0016218584
"Martin, T.P.","7403461852","Oxygen deficit, oxygen debt relationship at submaximal exercise",1974,"Journal of Sports Medicine and Physical Fitness",14,"4",,252,258,,5,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016217717&partnerID=40&md5=cb8cfd0076c2257ceba748534db6a8e8",Article,Final,"",Scopus,2-s2.0-0016217717
"Leusink, J.A.","57189418689","Two objective parameters for condition",1974,"Journal of Sports Medicine and Physical Fitness",14,"2",,78,84,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016214958&partnerID=40&md5=6dac57a12c1b6181652db8ca1b4e3fa3",Article,Final,"",Scopus,2-s2.0-0016214958
"Fusco, R.A., Gutin, B.","7004231585; 7006470769","Effects of exercise training on cardiovascular response of human subjects to a localized cold stressor",1974,"American Corrective Therapy Journal",28,"2",,42,46,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016212115&partnerID=40&md5=cfd2c0dfecf789b80bfbb4c13de359f0",Article,Final,"",Scopus,2-s2.0-0016212115
"Dal Monte, A., Fucci, S., Manoni, A.","7005730157; 57515521100; 6506819772","The treadmill as a training and simulator instrument in middle and long distance running",1974,"Journal of Sports Medicine and Physical Fitness",14,"2",,67,72,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016210310&partnerID=40&md5=5da03e15f00c9735b6285ae36e2093da",Article,Final,"",Scopus,2-s2.0-0016210310
"Jessup, G.T., Tolson, H., Terry, J.W.","6603842949; 6602752965; 7103365809","Prediction of maximal oxygen intake from Astrand Rhyming test, 12 minute run, and anthropometric variables using stepwise multiple regression",1974,"American Journal of Physical Medicine",53,"4",,200,207,,19,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016198294&partnerID=40&md5=058e42441855c614581103fa6776d9fe",Article,Final,"",Scopus,2-s2.0-0016198294
"Januszewski, J., Klimek, A.","6701509617; 57197663567","The effect of small doses of alcohol on haemodynamics and metabolism during exercise",1974,"Acta Physiologica Polonica",25,"6",,533,540,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016194537&partnerID=40&md5=0eb81b07a1f5c8f0c7a8a871f955cdb7",Article,Final,"",Scopus,2-s2.0-0016194537
"Rahe, R.H., Arthur, R.J.","7005464708; 7102717991","Effects of aging upon U.S. masters championship swim performance",1974,"Journal of Sports Medicine and Physical Fitness",14,"1",,21,25,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016159555&partnerID=40&md5=b39d0e62fdf93fcb02475b43fe1160ea",Article,Final,"",Scopus,2-s2.0-0016159555
"Bailey, D.A., Shephard, R.J., Mirwald, R.L., McBride, G.A.","7402156577; 7202263739; 6701468269; 7005344674","A current view of Canadian cardiorespiratory fitness",1974,"Canadian Medical Association Journal",111,"1",,25,30,,30,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016152916&partnerID=40&md5=93db15f2073c06bb4fca8f93742739de",Article,Final,"",Scopus,2-s2.0-0016152916
"Malhotra, M.S., Joseph, N.T., Sen Gupta, J.","7103190773; 7005912655; 7004656254","Body composition and endurance capacity of Indian hockey players",1974,"Journal of Sports Medicine and Physical Fitness",14,"4",,272,277,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016145781&partnerID=40&md5=7582f6ad3b351dc436c26aa4efbe528c",Article,Final,"",Scopus,2-s2.0-0016145781
"Bruce, R.A.","7202701499","Marathon Running After Myocardial Infarction",1974,"JAMA: The Journal of the American Medical Association",229,"12",,1637,1638,,1,10.1001/jama.1974.03230500055030,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016395086&partnerID=40&md5=cc79e31548dae512987c097a6b093711",Article,Final,"",Scopus,2-s2.0-0016395086
"Kavanagh, T., Shephard, R.H., Pandit, V.","7102107614; 56036786100; 7003581802","Marathon Running After Myocardial Infarction",1974,"JAMA: The Journal of the American Medical Association",229,"12",,1602,1605,,34,10.1001/jama.1974.03230500020020,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016277143&partnerID=40&md5=d25eab40ccc891d571667c60d1649cd6",Article,Final,"",Scopus,2-s2.0-0016277143
"Poulus, A.J., Docter, H.J., Westra, H.G.","6507304678; 7801443891; 6701349251","Acid-base balance and subjective feelings of fatigue during physical exercise",1974,"European Journal of Applied Physiology and Occupational Physiology",33,"3",,207,213,,38,10.1007/BF00421148,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016333330&partnerID=40&md5=86cc98b1906093b7fbcd2c4e1b2edfd3",Article,Final,"",Scopus,2-s2.0-0016333330
"Mostardi, R., Kubica, R., Veicsteinas, A., Margaria, R.","57215984778; 6601919851; 7006276479; 7004573350","The effect of increased body temperature due to exercise on the heart rate and on the maximal aerobic power",1974,"European Journal of Applied Physiology and Occupational Physiology",33,"3",,237,245,,16,10.1007/BF00421151,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016294459&partnerID=40&md5=22cb1c64dbd37b461431a78ceca4766b",Article,Final,"",Scopus,2-s2.0-0016294459
"Pugh, L.G.C.E.","7005700405","The relation of oxygen intake and speed in competition cycling and comparative observations on the bicycle ergometer",1974,"The Journal of Physiology",241,"3",,795,808,,102,10.1113/jphysiol.1974.sp010685,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016210215&partnerID=40&md5=9ee7abf0cef6302df4a8f9466cd86e83",Article,Final,"All Open Access, Green",Scopus,2-s2.0-0016210215
"Davies, C.T.M., Sargeant, A.J.","7402409718; 7006290848","Indirect determination of maximal aerobic power output during work with one or two limbs",1974,"European Journal of Applied Physiology and Occupational Physiology",32,"3",,207,215,,13,10.1007/BF00423216,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0015993243&partnerID=40&md5=b6123b9c4c0cadca70e1e5e34762e2fc",Article,Final,"",Scopus,2-s2.0-0015993243
"Léger, L.A., Ferguson, R.J.","7201826902; 7403152364","Effect of pacing on oxygen uptake and peak lactate for a mile run",1974,"European Journal of Applied Physiology and Occupational Physiology",32,"3",,251,257,,16,10.1007/BF00423220,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0015978435&partnerID=40&md5=d33c5517f883dc376694fc0553821c09",Article,Final,"",Scopus,2-s2.0-0015978435
"Davies, C.T.M., Sargeant, A.J., Smith, B.","7402409718; 7006290848; 57199488981","The physiological responses to running downhill",1974,"European Journal of Applied Physiology and Occupational Physiology",32,"3",,187,194,,12,10.1007/BF00423214,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0015978433&partnerID=40&md5=8637bcc669ef5279b8f4f8644a793af8",Article,Final,"",Scopus,2-s2.0-0015978433
"Rennie, M.J., Jennett, S., Johnson, R.H.","7101833941; 7003281637; 7407014755","THE METABOLIC EFFECTS OF STRENUOUS EXERCISE: A COMPARISON BETWEEN UNTRAINED SUBJECTS AND RACING CYCLISTS",1974,"Quarterly Journal of Experimental Physiology and Cognate Medical Sciences",59,"3",,201,212,,25,10.1113/expphysiol.1974.sp002262,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016303737&partnerID=40&md5=4c5b4b2d553bc53b371ea654db01711a",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-0016303737
"Duncan, M.T., Chan, K.Y.","7201431550; 7406031730","AEROBIC WORK CAPACITY IN YOUNG, UNTRAINED ASIAN WOMEN",1974,"Quarterly Journal of Experimental Physiology and Cognate Medical Sciences",59,"3",,181,190,,2,10.1113/expphysiol.1974.sp002260,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016264957&partnerID=40&md5=63aa6dc5269a3b97aac121ee6717fdca",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-0016264957
"Lichtlen, P., Halter, J., Gattiker, K.","7103328275; 7101971795; 6602516834","The effect of isosorbiddinitrate on coronary blood flow, coronary resistance and left ventricular dynamics under exercise in patients with coronary artery disease",1974,"Basic Research in Cardiology",69,"4",,402,421,,9,10.1007/BF01905944,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016138620&partnerID=40&md5=9f867d8feb7a1fbc109b1a68f19e1dac",Article,Final,"",Scopus,2-s2.0-0016138620
"Shephard, R.J., Campbell, R., Pimm, P., Stuart, D., Wright, G.R.","7202263739; 7402992447; 6602330171; 35228075700; 7402847870","Vitamin E, exercise, and the recovery from physical activity",1974,"European Journal of Applied Physiology and Occupational Physiology",33,"2",,119,126,,33,10.1007/BF00449513,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016268371&partnerID=40&md5=6860a68f25ce44eb403ee18206404e54",Article,Final,"",Scopus,2-s2.0-0016268371
"Andrew, G.M., Baines, L.","7003579129; 6603921575","Relationship of pulmonary diffusing capacity (DL) and cardiac output ( {Mathematical expression}) in exercise",1974,"European Journal of Applied Physiology and Occupational Physiology",33,"2",,127,137,,8,10.1007/BF00449514,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016268049&partnerID=40&md5=e2a61f90f9bc63e476df7b143484c9e6",Article,Final,"",Scopus,2-s2.0-0016268049
"Shephard, R.J., Godin, G., Campbell, R.","7202263739; 57024686000; 7402992447","Characteristics of sprint, medium and long-distance swimmers",1974,"European Journal of Applied Physiology and Occupational Physiology",32,"2",,99,116,,11,10.1007/BF00421569,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0015978292&partnerID=40&md5=b0cf1a4f3afce300993070b5f377d3ab",Article,Final,"",Scopus,2-s2.0-0015978292
"Bruce, R.A.","7202701499","Methods of exercise testing. Step test, bicycle, treadmill, isometrics",1974,"The American Journal of Cardiology",33,"6",,715,720,,109,10.1016/0002-9149(74)90211-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016253533&partnerID=40&md5=1410c922f4c80dfca856f0089568da49",Article,Final,"",Scopus,2-s2.0-0016253533
"Bonanno, J.A., Lies, J.E.","57198138345; 6508183011","Effects of physical training on coronary risk factors",1974,"The American Journal of Cardiology",33,"6",,760,764,,72,10.1016/0002-9149(74)90218-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016219178&partnerID=40&md5=bdd727b1ededca5462160efb45a05fd2",Article,Final,"",Scopus,2-s2.0-0016219178
"Wilmore, J.H.","7101646034","Individual exercise prescription",1974,"The American Journal of Cardiology",33,"6",,757,759,,8,10.1016/0002-9149(74)90217-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016146142&partnerID=40&md5=33fc9972cd5d04bf3b5906cc2b46ff2c",Article,Final,"",Scopus,2-s2.0-0016146142
"Sen Gupta, J., Verma, S.S., Joseph, N.T., Majumdar, N.C.","7004656254; 7402328486; 7005912655; 7003287497","A new approach for the assessment of endurance work",1974,"European Journal of Applied Physiology and Occupational Physiology",33,"1",,83,94,,3,10.1007/BF00423186,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016186124&partnerID=40&md5=00e6a8ed605d9e9f6063eeb196ba4e6f",Article,Final,"",Scopus,2-s2.0-0016186124
"Froelicher Jr., V.F., Allen, M., Lancaster, M.C.","7101805796; 35437450900; 7101744839","Maximal treadmill testing of normal USAF aircrewmen.",1974,"Aerospace medicine",45,"3",,310,315,,32,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016040405&partnerID=40&md5=ebd17f99eb78fca41672a457bbd86b5e",Article,Final,"",Scopus,2-s2.0-0016040405
"Schell-Frederick, E., Van Sande, J.","6603711206; 7006662568","Evidence that cyclic AMP is not the chemical mediator of the metabolic changes accompanying phagocytosis.",1974,"RES Journal of the Reticuloendothelial Society",15,"2",,139,148,,14,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016032577&partnerID=40&md5=ba1704f99b73597e7d3a9dc36148aaae",Article,Final,"",Scopus,2-s2.0-0016032577
"Dalén, N., Olsson, K.E.","7004673301; 35910758500","Bone mineral content and physical activity",1974,"Acta Orthopaedica",45,"1-4",,170,174,,237,10.3109/17453677408989136,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016374381&partnerID=40&md5=1f3a7d32e6d8e1fcd942de20acf08ab6",Article,Final,"",Scopus,2-s2.0-0016374381
"Stamford, B.A., Noble, B.J.","7006604827; 7101646305","Metabolic cost and perception of effort during bicycle ergometer work performance",1974,"Medicine and Science in Sports",6,"4",,226,231,,51,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016359551&partnerID=40&md5=5df79f774d0f6c59ff639329b5604545",Article,Final,"",Scopus,2-s2.0-0016359551
"Massicotte, D.R., Macnab, R.B.J.","7006273496; 7004626703","Cardiorespiratory adaptations to training at specified intensities in children",1974,"Medicine and Science in Sports",6,"4",,242,246,,49,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016356222&partnerID=40&md5=464ee72719069aa30f4e9bfeff46124d",Article,Final,"",Scopus,2-s2.0-0016356222
"Howley, E.T., Glover, M.E.","7004014989; 7103152432","The caloric costs of running and walking one mile for men and women",1974,"Medicine and Science in Sports",6,"4",,235,237,,55,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016351301&partnerID=40&md5=787b9c0d3a14ecd498bdf7e8b8a75759",Article,Final,"",Scopus,2-s2.0-0016351301
"Bruce, R.A., Fisher, L.D., Cooper, M.N., Gey, G.O.","7202701499; 7402671609; 57198516694; 35583690000","Separation of effects of cardiovascular disease and age on ventricular function with maximal exercise",1974,"The American Journal of Cardiology",34,"7",,757,763,,116,10.1016/0002-9149(74)90692-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016350543&partnerID=40&md5=d0a40f6b51e7b6c4cff220c590a1cc0f",Article,Final,"",Scopus,2-s2.0-0016350543
"Sulaiman, W.R., Doyle, D., Johnson, R.H., Jennett, S.","6701563826; 57210549477; 7407014755; 7003281637","Myopathy with mitochondrial inclusion bodies: Histological and metabolic studies",1974,"Journal of Neurology, Neurosurgery and Psychiatry",37,"11",,1236,1246,,20,10.1136/jnnp.37.11.1236,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016348194&partnerID=40&md5=e643c6a73f10abefd938872af5bd3fd7",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-0016348194
"Plowman, S.","6701397741","Physiological characteristics of female athletes",1974,"Research Quarterly of the American Alliance for Health, Physical Education and Recreation",45,"4",,349,362,,19,10.1080/10671315.1974.10615283,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016340515&partnerID=40&md5=871c829edc30b3660253ebf842e9a198",Article,Final,"",Scopus,2-s2.0-0016340515
"Atomi, Y., Miyashita, M.","7005472824; 7202415078","Maximal aerobic power of Japanese active and sedentary adult females of different ages (20 to 62 years)",1974,"Medicine and Science in Sports",6,"4",,223,225,,9,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016314667&partnerID=40&md5=ef2e30e26865f943e3dc6ce77285cf69",Article,Final,"",Scopus,2-s2.0-0016314667
"Daniels, J.","7202376696","Physiological characteristics of champion male athletes",1974,"Research Quarterly of the American Alliance for Health, Physical Education and Recreation",45,"4",,342,348,,46,10.1080/10671315.1974.10615282,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016308684&partnerID=40&md5=4dd94c8d75c347acfee2d4fef7c059db",Article,Final,"",Scopus,2-s2.0-0016308684
"Lopez, R., Ebel, H.","24765151400; 35845544500","Endurance performance as a function of prior-exercise heart rate",1974,"The American Journal of Sports Medicine",2,"5",,291,294,,,10.1177/036354657400200505,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016300136&partnerID=40&md5=b81ca604ce3dac6d511707ff7dd57f51",Article,Final,"",Scopus,2-s2.0-0016300136
"Fagraeus, B.L.","57190474128","Maximal Work Performance at Raised Air and Helium‐Oxygen Pressures",1974,"Acta Physiologica Scandinavica",91,"4",,545,556,,8,10.1111/j.1748-1716.1974.tb05709.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016293472&partnerID=40&md5=367ac5345d6e5a7218322702587d6b0a",Article,Final,"",Scopus,2-s2.0-0016293472
"Wilmore, J.H., Harmon Brown, C.","7101646034; 6507278761","Physiological profiles of women distance runners",1974,"Medicine and Science in Sports and Exercise",6,"3",,178,181,,81,10.1249/00005768-197423000-00010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016270306&partnerID=40&md5=fae6ccce2142a3ee32a996043f7d529c",Article,Final,"",Scopus,2-s2.0-0016270306
"Sutton, J., Lazarus, L.","7202954583; 7102684744","Effect of adrenergic blocking agents on growth hormone responses to physical exercise",1974,"Hormone and Metabolic Research",6,"5",,428,429,,32,10.1055/s-0028-1095726,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016259724&partnerID=40&md5=363b8273f3cbf14d255d3c9011355135",Article,Final,"",Scopus,2-s2.0-0016259724
"Carey, P., Stensland, M., Hartley, L.H.","7202731415; 6506639839; 7102177219","Comparison of oxygen uptake during maximal work on the treadmill and the rowing ergometer",1974,"Medicine and Science in Sports and Exercise",6,"2",,101,103,,23,10.1249/00005768-197400620-00017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016258402&partnerID=40&md5=11688b519bbcc312a04052bb7893175a",Article,Final,"",Scopus,2-s2.0-0016258402
"Wells, C.L., Horvath, S.M.","7202579321; 36870723900","Metabolic and thermoregulatory responses of women to exercise in two thermal environments",1974,"Medicine and Science in Sports",6,"1",,8,13,,11,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016257152&partnerID=40&md5=1889e4c79f0ec28aa238fe76081ce737",Article,Final,"",Scopus,2-s2.0-0016257152
"Froelicher Jr., V.F., Lancaster, M.C.","7101805796; 7101744839","The prediction of maximal oxygen consumption from a continuous exercise treadmill protocol",1974,"American Heart Journal",87,"4",,445,450,,25,10.1016/0002-8703(74)90169-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016254905&partnerID=40&md5=0d323f6aee5ff3d6d878c842db722c9f",Article,Final,"",Scopus,2-s2.0-0016254905
"Lally, D.A., Zechman, F.W., Tracy, R.A.","6602100608; 6701785914; 7102382623","Ventilatory responses to exercise in divers and non-divers",1974,"Respiration Physiology",20,"2",,117,129,,19,10.1016/0034-5687(74)90101-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016253351&partnerID=40&md5=ea28b7f4db0c9dca550326c901aec848",Article,Final,"",Scopus,2-s2.0-0016253351
"Davies, C.T.M., Sargeant, A.J.","7402409718; 7006290848","Physiological responses to exercise following fracture of the leg and subsequent rehabilitation",1974,"Journal of Physiology",242,"2",,134p,135p,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016246409&partnerID=40&md5=58fabd8aef32d4473ba4213da91f6dfd",Article,Final,"",Scopus,2-s2.0-0016246409
"Frayser, R.","6602159000","The effect of repetitive exercise on ventilatory function in smokers and nonsmokers",1974,"Southern Medical Journal",67,"8",,926,929,,4,10.1097/00007611-197408000-00010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016242210&partnerID=40&md5=7614cfb1d2fce5555a912ece126ddc98",Article,Final,"",Scopus,2-s2.0-0016242210
"Flint, M.M., Drinkwater, B.L., Horvath, S.M.","7004358512; 7006891240; 36870723900","Effects of training on women’s response to submaximal exercise",1974,"Medicine and Science in Sports and Exercise",6,"2",,89,94,,18,10.1249/00005768-197400620-00015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016241819&partnerID=40&md5=735661df52c4d57696fd55757cee05c2",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-0016241819
"Pugh, L.G.C.E.","7005700405","The aerobic capacity of forty british women aged 17-27 years",1974,"Ergonomics",17,"2",,185,192,,5,10.1080/00140137408931337,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0016230195&partnerID=40&md5=bf6ea037cce1e7616f598098194e1c78",Article,Final,"",Scopus,2-s2.0-0016230195
